A;B;Phrase
roxane;précieuse;Roxane la précieuse
christian;neuvillette;Christian de Neuvillette
d'artagnan;gascon;D'Artagnan le Gascon
athos;comte;Athos le comte
porthos;baron;Porthos le baron
aramis;abbé;Aramis l'abbé
milady;winter;Milady de Winter
richelieu;cardinal;Richelieu le cardinal
louis;roi;Louis le roi
anne;autriche;Anne d'Autriche
mazarin;ministre;Mazarin le ministre
fouquet;surintendant;Fouquet le surintendant
colbert;ministre;Colbert le ministre
louvois;guerre;Louvois à la guerre
vauban;forteresse;Vauban et ses forteresses
molière;théâtre;Molière et le théâtre
racine;tragédie;Racine et la tragédie
corneille;cid;Corneille et le Cid
fontaine;fable;La Fontaine et ses fables
perrault;conte;Perrault et ses contes
voltaire;philosophe;Voltaire le philosophe
rousseau;promeneur;Rousseau le promeneur
diderot;encyclopédie;Diderot et l'encyclopédie
montesquieu;loi;Montesquieu et la loi
beaumarchais;figaro;Beaumarchais et Figaro
hugo;misérables;Hugo et les Misérables
balzac;comédie;Balzac et la Comédie
zola;rougon;Zola et les Rougon
flaubert;bovary;Flaubert et Bovary
maupassant;nouvelle;Maupassant et la nouvelle
stendhal;rouge;Stendhal le Rouge
musset;enfant;Musset l'enfant du siècle
sand;mare;Sand et la mare
baudelaire;fleur;Baudelaire et les fleurs
rimbaud;bateau;Rimbaud et le bateau
verlaine;sanglot;Verlaine et le sanglot
mallarmé;coup;Mallarmé et le coup de dés
apollinaire;pont;Apollinaire sous le pont
breton;surréalisme;Breton et le surréalisme
aragon;elsa;Aragon et Elsa
eluard;liberté;Eluard et la liberté
prévert;inventaire;Prévert et son inventaire
camus;étranger;Camus l'étranger
sartre;nausée;Sartre et la nausée
beauvoir;sexe;Beauvoir et le deuxième sexe
duras;amant;Duras et l'amant
colette;blé;Colette et le blé
yourcenar;hadrien;Yourcenar et Hadrien
sagan;bonjour;Sagan et bonjour tristesse
modiano;rue;Modiano et la rue
le clézio;désert;Le Clézio et le désert
houellebecq;carte;Houellebecq et la carte
nothomb;stupeur;Nothomb et stupeur
pennac;malaussène;Pennac et Malaussène
gavalda;ensemble;Gavalda ensemble
levy;ombre;Levy et l'ombre
musso;fille;Musso et la fille
bussi;nymphéas;Bussi et les nymphéas
thilliez;puzzle;Thilliez et le puzzle
granger;rivières;Grangé et les rivières
chattam;âme;Chattam et l'âme
werber;fourmi;Werber et les fourmis
barjavel;nuit;Barjavel et la nuit
damasio;horde;Damasio et la horde
proust;temps;Proust et le temps
céline;voyage;Céline et le voyage
vian;écume;Vian et l'écume
queneau;zazie;Queneau et Zazie
perec;disparition;Perec et la disparition
gary;vie;Gary et la vie
aajard;gros;Ajar et le gros câlin
pagnol;gloire;Pagnol et la gloire
giono;hussard;Giono et le hussard
cocteau;belle;Cocteau et la belle
