A;B;Phrase
appel;inconnu;appel de l'inconnu
tronçonneuse;massacre;tronçonneuse du massacre
griffe;freddy;griffe de Freddy
masque;jason;masque de Jason
poupée;chucky;poupée Chucky
livre;jungle;livre de la jungle
fleur;rouge;fleur rouge (feu)
os;chien;os du chien
pelote;chat;pelote du chat
fromage;souris;fromage de la souris
banane;singe;banane du singe
cacahuète;éléphant;cacahuète de l'éléphant
carotte;lapin;carotte du lapin
miel;ours;miel de l'ours
gland;écureuil;gland de l'écureuil
noix;coco;noix de coco
bambou;panda;bambou du panda
eucalyptus;koala;eucalyptus du koala
poche;kangourou;poche du kangourou
bosse;chameau;bosse du chameau
trompe;éléphant;trompe de l'éléphant
cou;girafe;cou de la girafe
rayure;zèbre;rayure du zèbre
tache;léopard;tache du léopard
crinière;lion;crinière du lion
dent;requin;dent du requin
aileron;requin;aileron du requin
encre;pieuvre;encre de la pieuvre
coquille;oeuf;coquille de l'œuf
nid;oiseau;nid de l'oiseau
toile;araignée;toile de l'araignée
ruche;abeille;ruche de l'abeille
fourmilière;fourmi;fourmilière de la fourmi
barrage;castor;barrage du castor
terrier;renard;terrier du renard
tanière;loup;tanière du loup
grotte;ours;grotte de l'ours
écurie;cheval;écurie du cheval
étable;vache;étable de la vache
bergerie;mouton;bergerie du mouton
porcherie;cochon;porcherie du cochon
poulailler;poule;poulailler de la poule
clapier;lapin;clapier du lapin
niche;chien;niche du chien
panier;chat;panier du chat
bocal;poisson;bocal du poisson
cage;canari;cage du canari
aquarium;poisson;aquarium du poisson
vivarium;serpent;vivarium du serpent
zoo;animaux;zoo des animaux
cirque;clown;cirque du clown
chapiteau;cirque;chapiteau du cirque
piste;étoiles;piste aux étoiles
roulotte;gitan;roulotte du gitan
feu;camp;feu de camp
guitare;manouche;guitare manouche
violon;tzigane;violon tzigane
boule;cristal;boule de cristal
tarot;marseille;tarot de Marseille
ligne;main;ligne de la main
signe;zodiaque;signe du zodiaque
ascendant;vierge;ascendant vierge
horoscope;matin;horoscope du matin
chance;jeu;chance au jeu
malheur;amour;malheur en amour
destin;homme;destin de l'homme
fatalité;sort;fatalité du sort
hasard;vie;hasard de la vie
coïncidence;troublante;coïncidence troublante
rendez-vous;manqué;rendez-vous manqué
heure;décès;heure du décès
cause;mort;cause de la mort
arme;crime;arme du crime
scène;crime;scène du crime
indice;police;indice de la police
preuve;accablante;preuve accablante
alibi;béton;alibi en béton
mobile;tueur;mobile du tueur
verdict;juge;verdict du juge
peine;prison;peine de prison
cellule;moine;cellule de moine
cachot;château;cachot du château
oubliettes;forteresse;oubliettes de la forteresse
chaîne;fantôme;chaîne du fantôme
boulet;bagnard;boulet du bagnard
fer;esclave;fer de l'esclave
liberté;homme;liberté de l'homme
droit;citoyen;droit du citoyen
devoir;soldat;devoir du soldat
honneur;famille;honneur de la famille
gloire;héros;gloire du héros
victoire;équipe;victoire de l'équipe
défaite;armée;défaite de l'armée
paix;braves;paix des braves
guerre;mondes;guerre des mondes
fin;temps;fin des temps
jugement;dernier;jugement dernier
paradis;croyant;paradis du croyant
enfer;pécheur;enfer du pécheur
purgatoire;âme;purgatoire de l'âme
limbes;enfant;limbes de l'enfant
nirvana;bouddhiste;nirvana du bouddhiste
walhalla;viking;walhalla du viking
olympe;dieux;olympe des dieux
champs;élysées;champs élysées (mythologie)
styx;enfers;styx des enfers
barque;charon;barque de Charon
obole;passage;obole de passage
cerbère;enfer;cerbère de l'enfer
hydre;lerne;hydre de Lerne
lion;némée;lion de Némée
pomme;discorde;pomme de discorde
toison;or;toison d'or
cornucopia;abondance;corne d'abondance
caducée;hermès;caducée d'Hermès
égide;athéna;égide d'Athéna
foudre;zeus;foudre de Zeus
trident;poséidon;trident de Poséidon
bident;hadès;bident d'Hadès
thyrse;dionysos;thyrse de Dionysos
arc;artémis;arc d'Artémis
lyre;apollon;lyre d'Apollon
marteau;héphaïstos;marteau d'Héphaïstos
ceinture;aphrodite;ceinture d'Aphrodite
casque;arès;casque d'Arès
sandales;hermès;sandales d'Hermès
paon;héra;paon d'Héra
chouette;athéna;chouette d'Athéna
aigle;zeus;aigle de Zeus
vautour;prométhée;vautour de Prométhée
serpent;python;serpent Python
chimère;bellérophon;chimère de Bellérophon
pégase;persée;pégase de Persée
tête;méduse;tête de Méduse
sang;gorgone;sang de la Gorgone
oeil;grées;œil des Grées
marteau;charpentier;marteau du charpentier
scie;bûcheron;scie du bûcheron
rabot;menuisier;rabot du menuisier
truelle;maçon;truelle du maçon
pinceau;peintre;pinceau du peintre
rouleau;peintre;rouleau du peintre
clé;plombier;clé du plombier
tournevis;électricien;tournevis de l'électricien
ciseaux;coiffeur;ciseaux du coiffeur
peigne;coiffeur;peigne du coiffeur
rasoir;barbier;rasoir du barbier
aiguille;couturière;aiguille de la couturière
dé;couturière;dé de la couturière
mètre;ruban;mètre ruban
équerre;architecte;équerre de l'architecte
compas;géomètre;compas du géomètre
théodolite;arpenteur;théodolite de l'arpenteur
stéthoscope;médecin;stéthoscope du médecin
tensiomètre;infirmière;tensiomètre de l'infirmière
roulette;dentiste;roulette du dentiste
forceps;accoucheur;forceps de l'accoucheur
scalpel;chirurgien;scalpel du chirurgien
éprouvette;chimiste;éprouvette du chimiste
microscope;biologiste;microscope du biologiste
télescope;astronome;télescope de l'astronome
boussole;explorateur;boussole de l'explorateur
carte;navigateur;carte du navigateur
sextant;marin;sextant du marin
barre;timonier;barre du timonier
ancre;navire;ancre du navire
filet;pêcheur;filet du pêcheur
canne;pêcheur;canne du pêcheur
fusil;chasseur;fusil du chasseur
piège;trappeur;piège du trappeur
charrue;laboureur;charrue du laboureur
faux;faucheur;faux du faucheur
râteau;jardinier;râteau du jardinier
arrosoir;jardinier;arrosoir du jardinier
brouette;jardinier;brouette du jardinier
pelle;terrassier;pelle du terrassier
pioche;mineur;pioche du mineur
lampe;mineur;lampe du mineur
casque;pompier;casque du pompier
lance;incendie;lance d'incendie
échelle;pompier;échelle de pompier
sifflet;agent;sifflet de l'agent
menottes;policier;menottes du policier
matraque;gendarme;matraque du gendarme
arme;soldat;arme du soldat
fusil;tireur;fusil du tireur
canon;artilleur;canon de l'artilleur
épée;escrimeur;épée de l'escrimeur
fleuret;escrimeur;fleuret de l'escrimeur
sabre;cavalerie;sabre de cavalerie
arc;archer;arc de l'archer
flèche;archer;flèche de l'archer
cible;tireur;cible du tireur
raquette;tennisman;raquette du tennisman
balle;golfeur;balle du golfeur
club;golf;club de golf
batte;baseball;batte de baseball
gant;boxeur;gant du boxeur
ballon;footballeur;ballon du footballeur
vélo;cycliste;vélo du cycliste
moto;motard;moto du motard
voiture;pilote;voiture du pilote
volant;conducteur;volant du conducteur
casque;pilote;casque du pilote
combinaison;plongeur;combinaison du plongeur
bouteille;oxygène;bouteille d'oxygène
masque;apnéiste;masque de l'apnéiste
palmes;nageur;palmes du nageur
skis;skieur;skis du skieur
bâtons;randonneur;bâtons du randonneur
sac;alpiniste;sac de l'alpiniste
corde;grimpeur;corde du grimpeur
piolet;alpiniste;piolet de l'alpiniste
crampons;glace;crampons de glace
luge;enfant;luge de l'enfant
patins;glace;patins à glace
roulette;casino;roulette du casino
jeton;joueur;jeton du joueur
carte;magicien;carte du magicien
baguette;chef;baguette du chef d'orchestre
pupitre;musicien;pupitre du musicien
partition;pianiste;partition du pianiste
violon;soliste;violon du soliste
archet;violoncelliste;archet du violoncelliste
guitare;gratteur;guitare du gratteur
mediator;guitariste;mediator du guitariste
baguettes;batteur;baguettes du batteur
micro;chanteur;micro du chanteur
caméra;réalisateur;caméra du réalisateur
projecteur;cinéma;projecteur de cinéma
écran;ordinateur;écran de l'ordinateur
clavier;dactylo;clavier de la dactylo
souris;infographiste;souris de l'infographiste
tablette;graphique;tablette graphique
stylet;dessinateur;stylet du dessinateur
crayon;architecte;crayon de l'architecte
gomme;écolier;gomme de l'écolier
règle;maître;règle du maître
craie;tableau;craie du tableau
éponge;effacer;éponge à effacer
cartable;élève;cartable de l'élève
trousse;écolier;trousse de l'écolier
livre;étudiant;livre de l'étudiant
cahier;devoirs;cahier de devoirs
agenda;ministre;agenda du ministre
serviette;avocat;serviette de l'avocat
dossier;juge;dossier du juge
marteau;commissaire-priseur;marteau du commissaire-priseur
balance;épicier;balance de l'épicier
caisse;commerçant;caisse du commerçant
panier;ménagère;panier de la ménagère
caddie;supermarché;caddie du supermarché
sac;dame;sac de la dame
valise;voyageur;valise du voyageur
coffre;voiture;coffre de la voiture
roue;secours;roue de secours
cric;mécano;cric du mécano
pompe;essence;pompe à essence
ticket;métro;ticket de métro
billet;train;billet de train
passe;navigo;passe navigo
carte;abonnement;carte d'abonnement
ticket;cinéma;ticket de cinéma
place;théâtre;place de théâtre
invitation;vernissage;invitation au vernissage
faire-part;mariage;faire-part de mariage
carte;voeux;carte de vœux
enveloppe;lettre;enveloppe de la lettre
timbre;poste;timbre de la poste
colis;facteur;colis du facteur
lettre;recommandée;lettre recommandée
téléphone;portable;téléphone portable
chargeur;batterie;chargeur de batterie
télécommande;télé;télécommande de la télé
clé;maison;clé de la maison
bip;garage;bip du garage
code;entrée;code de l'entrée
interphone;immeuble;interphone de l'immeuble
sonnette;porte;sonnette de la porte
paillasson;bottes;paillasson pour les bottes
parapluie;pépin;parapluie pépin
canne;vieillard;canne du vieillard
fauteuil;roulant;fauteuil roulant
prothèse;dentaire;prothèse dentaire
lunettes;vue;lunettes de vue
lentilles;contact;lentilles de contact
appareil;auditif;appareil auditif
béquille;blessé;béquille du blessé
plâtre;fracture;plâtre de la fracture
bandage;plaie;bandage de la plaie
pansement;coupure;pansement de la coupure
thermomètre;fièvre;thermomètre de la fièvre
bouillotte;lit;bouillotte du lit
couverture;froid;couverture contre le froid
éventail;dame;éventail de la dame
mouchoir;poche;mouchoir de poche
montre;poignet;montre de poignet
bijou;écrin;bijou dans l'écrin
alliance;doigt;alliance au doigt
bague;fiançailles;bague de fiançailles
collier;cou;collier au cou
boucle;oreille;boucle d'oreille
bracelet;bras;bracelet de bras
broche;revers;broche au revers
épingle;cravate;épingle de cravate
bouton;manchette;bouton de manchette
noeud;papillon;nœud papillon
cravate;col;cravate au col
chapeau;tête;chapeau sur la tête
casquette;jeune;casquette du jeune
béret;ancien;béret de l'ancien
bonnet;hiver;bonnet d'hiver
écharpe;laine;écharpe en laine
gants;mains;gants aux mains
moufles;enfant;moufles de l'enfant
bottes;pluie;bottes de pluie
chaussures;pieds;chaussures aux pieds
chaussettes;tiroir;chaussettes dans le tiroir
pantalon;jambes;pantalon sur les jambes
chemise;dos;chemise sur le dos
manteau;portemanteau;manteau au portemanteau
veste;cintre;veste sur le cintre
robe;penderie;robe dans la penderie
jupe;plis;jupe à plis
pull;tricot;pull en tricot
gilet;boutons;gilet à boutons
pyjama;nuit;pyjama pour la nuit
chemise;nuit;chemise de nuit
robe;chambre;robe de chambre
pantoufles;maison;pantoufles de la maison
chaussons;danse;chaussons de danse
maillot;bain;maillot de bain
serviette;plage;serviette de plage
parasol;sable;parasol dans le sable
seau;plage;seau de plage
pelle;sable;pelle à sable
râteau;jardin;râteau de jardin
arrosoir;fleurs;arrosoir pour les fleurs
tondeuse;gazon;tondeuse à gazon
cisaille;haie;cisaille à haie
sécateur;rosier;sécateur pour le rosier
échelle;cerises;échelle pour les cerises
panier;pommes;panier de pommes
cagette;légumes;cagette de légumes
sac;patates;sac de patates
filet;oranges;filet d'oranges
boîte;oeufs;boîte d'œufs
bouteille;lait;bouteille de lait
pot;yaourt;pot de yaourt
paquet;beurre;paquet de beurre
tablette;chocolat;tablette de chocolat
bocal;cornichons;bocal de cornichons
boîte;conserves;boîte de conserves
ouvre-boîte;tiroir;ouvre-boîte dans le tiroir
tire-bouchon;sommelier;tire-bouchon du sommelier
verre;vin;verre à vin
tasse;café;tasse à café
bol;chocolat;bol de chocolat
assiette;soupe;assiette à soupe
cuillère;dessert;cuillère à dessert
fourchette;viande;fourchette à viande
couteau;pain;couteau à pain
plat;four;plat à four
casserole;eau;casserole d'eau
poêle;oeufs;poêle à œufs
cocotte;minute;cocotte minute
passoire;pâtes;passoire à pâtes
saladier;laitue;saladier de laitue
louche;potage;louche à potage
écumoire;friture;écumoire à friture
fouet;crème;fouet à crème
rouleau;pâte;rouleau à pâte
moule;gâteau;moule à gâteau
plaque;four;plaque de four
grille;pain;grille-pain
cafetière;filtre;cafetière filtre
bouilloire;thé;bouilloire à thé
théière;porcelaine;théière en porcelaine
sucrier;table;sucrier de table
salière;poivre;salière et poivre
huilier;vinaigre;huilier et vinaigre
nappe;dimanche;nappe du dimanche
serviette;table;serviette de table
torchon;vaisselle;torchon à vaisselle
éponge;évier;éponge d'évier
balai;brosse;balai brosse
pelle;poussière;pelle à poussière
aspirateur;sac;aspirateur à sac
fer;repasser;fer à repasser
table;repasser;table à repasser
machine;laver;machine à laver
sèche;linge;sèche-linge
fil;étendage;fil d'étendage
épingle;linge;épingle à linge
panier;linge;panier à linge
poubelle;tri;poubelle de tri
sac;poubelle;sac poubelle
