A;B;Phrase
vin;Pomerol;vin de Pomerol
vin;Sauternes;vin de Sauternes
vin;Margaux;vin de Margaux
vin;Pauillac;vin de Pauillac
vin;Graves;vin des Graves
vin;Beaujolais;vin du Beaujolais
vin;Muscadet;vin de Muscadet
vin;Chinon;vin de Chinon
vin;Sancerre;vin de Sancerre
vin;Cahors;vin de Cahors
vin;Madiran;vin de Madiran
vin;Jurançon;vin de Jurançon
vin;Gaillac;vin de Gaillac
vin;Bandol;vin de Bandol
vin;Minervois;vin du Minervois
vin;Corbières;vin des Corbières
vin;Fitou;vin de Fitou
vin;Riesling;vin de Riesling
vin;Gewurztraminer;vin de Gewurztraminer
vin;Sylvaner;vin de Sylvaner
vin;Tokay;vin de Tokay
vin;Porto;vin de Porto
vin;Xérès;vin de Xérès
vin;Madère;vin de Madère
vin;Marsala;vin de Marsala
vin;Samos;vin de Samos
vin;Retsina;vin de Retsina
vin;Chianti;vin de Chianti
vin;Barolo;vin de Barolo
vin;Asti;vin d'Asti
vin;Rioja;vin de la Rioja
vin;Malaga;vin de Malaga
bière;Munich;bière de Munich
bière;Pilsen;bière de Pilsen
bière;Dublin;bière de Dublin
bière;Alsace;bière d'Alsace
bière;Nord;bière du Nord
cidre;Cornouailles;cidre de Cornouailles
cidre;Pays d'Auge;cidre du Pays d'Auge
poiré;Domfront;poiré de Domfront
kirsch;Fougerolles;kirsch de Fougerolles
génépi;Alpes;génépi des Alpes
chartreuse;Voiron;chartreuse de Voiron
bénédictine;Fécamp;bénédictine de Fécamp
anisette;Bordeaux;anisette de Bordeaux
menthe;Pastille;menthe Pastille
eau;Vichy;eau de Vichy
eau;Perrier;eau de Perrier
eau;Evian;eau d'Evian
eau;Volvic;eau de Volvic
eau;Vittel;eau de Vittel
eau;Contrex;eau de Contrex
eau;Badoit;eau de Badoit
eau;Lourdes;eau de Lourdes
eau;Jourdain;eau du Jourdain
sel;Himalaya;sel de l'Himalaya
sel;Camargue;sel de Camargue
sel;Ile de Ré;sel de l'Ile de Ré
sel;Noirmoutier;sel de Noirmoutier
poivre;Cayenne;poivre de Cayenne
poivre;Jamaïque;poivre de la Jamaïque
poivre;Kampot;poivre de Kampot
poivre;Penja;poivre de Penja
curry;Madras;curry de Madras
safran;Gâtinais;safran du Gâtinais
safran;Quercy;safran du Quercy
piment;Espelette;piment d'Espelette
moutarde;Meaux;moutarde de Meaux
vinaigre;Xérès;vinaigre de Xérès
vinaigre;Balsamique;vinaigre balsamique
vinaigre;Cidre;vinaigre de cidre
huile;Noix;huile de noix
huile;Colza;huile de colza
huile;Pépins;huile de pépins de raisin
huile;Argan;huile d'argan
huile;Palme;huile de palme
huile;Coco;huile de coco
sirop;Agave;sirop d'agave
sucre;Betterave;sucre de betterave
sucre;Coco;sucre de coco
miel;Sapin;miel de sapin
miel;Lavande;miel de lavande
miel;Châtaignier;miel de châtaignier
miel;Acacia;miel d'acacia
miel;Tilleul;miel de tilleul
confiture;Lait;confiture de lait
crème;Marron;crème de marron
pâte;Coing;pâte de coing
gelée;Groseille;gelée de groseille
fromage;Corse;fromage de Corse
fromage;Pyrénées;fromage des Pyrénées
brocciu;Corse;brocciu corse
tome;Bauges;tome des Bauges
bleu;Gex;bleu de Gex
bleu;Causses;bleu des Causses
bleu;Vercors;bleu du Vercors
chabichou;Poitou;chabichou du Poitou
pouligny;Saint-Pierre;pouligny-saint-pierre
selles;Cher;selles-sur-cher
valençay;Berry;valençay du Berry
langres;Champagne;langres de Champagne
chaource;Champagne;chaource de Champagne
époisses;Bourgogne;époisses de Bourgogne
livarot;Normandie;livarot de Normandie
pont-l'évêque;Normandie;pont-l'évêque de Normandie
neufchâtel;Bray;neufchâtel du Bray
morbier;Jura;morbier du Jura
abondance;Savoie;abondance de Savoie
beaufort;Savoie;beaufort de Savoie
chevrotin;Aravis;chevrotin des Aravis
rigotte;Condrieu;rigotte de Condrieu
pelardon;Cévennes;pélardon des Cévennes
picodon;Drôme;picodon de la Drôme
rocamadour;Quercy;rocamadour du Quercy
salers;Cantal;salers du Cantal
laguiole;Aubrac;laguiole de l'Aubrac
ossau;Iraty;ossau-iraty
mimolette;Lille;mimolette de Lille
boulette;Avesnes;boulette d'Avesnes
curé;Nantais;curé nantais
trappe;Echourgnac;trappe d'Echourgnac
saint;Marcellin;saint-marcellin
saint;Félicien;saint-félicien
brillat;Savarin;brillat-savarin
vacherin;Mont d'Or;vacherin du Mont d'Or
gruyère;Suisse;gruyère suisse
tête;Moine;tête de moine
cheddar;Anglais;cheddar anglais
stilton;Anglais;stilton anglais
gouda;Hollande;gouda de Hollande
edam;Hollande;edam de Hollande
feta;Grecque;feta grecque
parmesan;Italien;parmesan italien
gorgonzola;Italien;gorgonzola italien
mascarpone;Italien;mascarpone italien
ricotta;Italienne;ricotta italienne
pecorino;Romano;pecorino romano
manchego;Espagnol;manchego espagnol
poule;Soie;poule soie
poule;Houdan;poule de Houdan
poule;Marans;poule de Marans
poule;Gâtinaise;poule gâtinaise
poule;Faverolles;poule de Faverolles
coq;Bruyère;coq de bruyère
canard;Barbarie;canard de Barbarie
oie;Toulouse;oie de Toulouse
dindon;Sologne;dindon de Sologne
pigeon;Ramier;pigeon ramier
lapin;Angora;lapin angora
lapin;Garenne;lapin de garenne
lièvre;Europe;lièvre d'Europe
cerf;Elaphe;cerf élaphe
daim;Europe;daim d'Europe
chevreuil;Sibérie;chevreuil de Sibérie
bouquetin;Alpes;bouquetin des Alpes
chamois;Pyrénées;chamois des Pyrénées (isard)
marmotte;Alpes;marmotte des Alpes
ours;Brun;ours brun
ours;Kodiak;ours kodiak
loup;Gris;loup gris
renard;Polaire;renard polaire
lynx;Boréal;lynx boréal
chat;Siamois;chat siamois
chat;Persan;chat persan
chat;Chartreux;chat chartreux
chat;Angora;chat angora
chat;Bengal;chat du Bengal
chat;Bombay;chat de Bombay
chat;Ceylan;chat de Ceylan
chat;Abyssin;chat abyssin
chat;Birmanie;sacré de Birmanie
chat;Sibérie;chat sibérien
chien;Berger;chien de berger
chien;Chasse;chien de chasse
chien;Traîneau;chien de traîneau
chien;Garde;chien de garde
berger;Allemand;berger allemand
berger;Belge;berger belge
berger;Australien;berger australien
berger;Pyrénées;berger des Pyrénées
berger;Beauce;berger de Beauce (Beauceron)
berger;Brie;berger de Brie (Briard)
berger;Picardie;berger picard
bouvier;Bernois;bouvier bernois
bouvier;Flandres;bouvier des Flandres
dogue;Allemand;dogue allemand
dogue;Argentin;dogue argentin
dogue;Bordeaux;dogue de Bordeaux
dogue;Tibet;dogue du Tibet
mâtin;Naples;mâtin de Naples
saint;Bernard;saint-bernard
terre;Neuve;terre-neuve
leonberg;Allemagne;leonberg
husky;Sibérie;husky de Sibérie
malamute;Alaska;malamute de l'Alaska
samoyède;Sibérie;samoyède
chow;Chow;chow-chow
spitz;Nain;spitz nain
braque;Weimar;braque de Weimar
braque;Hongrois;braque hongrois
épagneul;Breton;épagneul breton
cocker;Anglais;cocker anglais
cocker;Américain;cocker américain
setter;Irlandais;setter irlandais
setter;Anglais;setter anglais
retriever;Labrador;labrador retriever
retriever;Golden;golden retriever
caniche;Royal;caniche royal
basset;Artesien;basset artésien
beagle;Anglais;beagle
dalmatien;Dalmatie;dalmatien
chihuahua;Mexique;chihuahua
pékinois;Chine;pékinois
shih;Tzu;shih tzu
lévrier;Afghan;lévrier afghan
lévrier;Persan;lévrier persan (saluki)
lévrier;Russe;lévrier russe (barzoï)
cheval;Arabe;cheval arabe
cheval;Frison;cheval frison
cheval;Andalou;cheval andalou
cheval;Lusitanien;cheval lusitanien
cheval;Islandais;cheval islandais
cheval;Fjord;cheval fjord
cheval;Percheron;percheron
cheval;Boulonnais;boulonnais
cheval;Comtois;comtois
cheval;Breton;breton
cheval;Ardennais;ardennais
cheval;Camargue;cheval de Camargue
poney;Shetland;poney shetland
poney;Welsh;poney welsh
poney;Connemara;poney connemara
poney;Landais;poney landais
vache;Aubrac;vache d'Aubrac
vache;Salers;vache de Salers
vache;Limousine;vache limousine
vache;Charolaise;vache charolaise
vache;Normande;vache normande
vache;Montbéliarde;vache montbéliarde
vache;Abondance;vache d'Abondance
vache;Tarine;vache tarine
vache;Vosgienne;vache vosgienne
vache;Holstein;vache Holstein
vache;Jersey;vache jersiaise
vache;Highland;vache Highland
mouton;Mérinos;mouton mérinos
mouton;Suffolk;mouton Suffolk
mouton;Ouessant;mouton d'Ouessant
chèvre;Angora;chèvre angora
chèvre;Alpine;chèvre alpine
porc;Basque;porc basque
porc;Gascon;porc gascon
porc;Corse;porc corse
truite;Fario;truite fario
saumon;Fontaine;saumon de fontaine
brochet;Nord;brochet du Nord
silure;Glane;silure glane
écrevisse;Louisiane;écrevisse de Louisiane
crabe;Neiges;crabe des neiges
crabe;Royal;crabe royal
homard;Américain;homard américain
langouste;Rouge;langouste rouge
crevette;Impériale;crevette impériale
huître;Belon;huître de Belon
moule;Espagne;moule d'Espagne
oursin;Galice;oursin de Galice
corail;Rouge;corail rouge
nacre;Perle;nacre de perle
éponge;Mer;éponge de mer
laine;Shetland;laine Shetland
laine;Mohair;laine mohair
laine;Vigogne;laine de vigogne
coton;Égypte;coton d'Égypte
soie;Sauvage;soie sauvage
dentelle;Chantilly;dentelle de Chantilly
dentelle;Bruges;dentelle de Bruges
point;Croix;point de croix
toile;Nîmes;toile de Nîmes (denim)
toile;Jouy;toile de Jouy
velours;Gênes;velours de Gênes
cuir;Russie;cuir de Russie
maroquin;Maroc;maroquin
daim;Suède;daim (suède)
papier;Canson;papier Canson
papier;Bristol;papier Bristol
papier;Japon;papier Japon
papier;Soie;papier de soie
papier;Verre;papier de verre
papier;Musique;papier à musique
encre;Chine;encre de Chine
bleu;Prusse;bleu de Prusse
bleu;Outremer;bleu d'outremer
bleu;Cobalt;bleu de cobalt
rouge;Pompéi;rouge Pompéi
jaune;Naples;jaune de Naples
vert;Véronèse;vert Véronèse
terre;Sienne;terre de Sienne
